day,close
2016-04-25,208.610000610352
2016-04-26,208.919998168945
2016-04-27,209.350006103516
2016-04-28,207.449996948242
2016-04-29,206.330001831055
2016-05-02,207.970001220703
2016-05-03,206.160003662109
2016-05-04,205.009994506836
2016-05-05,204.970001220703
2016-05-06,205.720001220703
2016-05-09,205.889999389648
2016-05-10,208.449996948242
2016-05-11,206.5
2016-05-12,206.559997558594
2016-05-13,204.759994506836
2016-05-16,206.779998779297
2016-05-17,204.850006103516
2016-05-18,204.910003662109
2016-05-19,204.199996948242
2016-05-20,205.490005493164
2016-05-23,205.210006713867
2016-05-24,207.869995117188
2016-05-25,209.279998779297
2016-05-26,209.339996337891
2016-05-27,210.240005493164
2016-05-31,209.839996337891
2016-06-01,210.270004272461
2016-06-02,210.910003662109
2016-06-03,210.279998779297
2016-06-06,211.350006103516
2016-06-07,211.679992675781
2016-06-08,212.369995117188
2016-06-09,212.080001831055
2016-06-10,210.070007324219
2016-06-13,208.449996948242
2016-06-14,208.039993286133
2016-06-15,207.75
2016-06-16,208.369995117188
2016-06-17,206.520004272461
2016-06-20,207.850006103516
2016-06-21,208.440002441406
2016-06-22,208.100006103516
2016-06-23,210.809997558594
2016-06-24,203.240005493164
2016-06-27,199.600006103516
2016-06-28,203.199996948242
2016-06-29,206.660003662109
2016-06-30,209.479995727539
2016-07-01,209.919998168945
2016-07-05,208.410003662109
2016-07-06,209.660003662109
2016-07-07,209.529998779297
2016-07-08,212.649993896484
2016-07-11,213.399993896484
2016-07-12,214.949996948242
2016-07-13,214.919998168945
2016-07-14,216.119995117188
2016-07-15,215.830001831055
2016-07-18,216.410003662109
2016-07-19,216.190002441406
2016-07-20,217.089996337891
2016-07-21,216.270004272461
2016-07-22,217.240005493164
2016-07-25,216.649993896484
2016-07-26,216.75
2016-07-27,216.520004272461
2016-07-28,216.770004272461
2016-07-29,217.119995117188
2016-08-01,216.940002441406
2016-08-02,215.550003051758
2016-08-03,216.179992675781
2016-08-04,216.410003662109
2016-08-05,218.179992675781
2016-08-08,218.050003051758
2016-08-09,218.179992675781
2016-08-10,217.639999389648
2016-08-11,218.649993896484
2016-08-12,218.460006713867
2016-08-15,219.089996337891
2016-08-16,217.960006713867
2016-08-17,218.369995117188
2016-08-18,218.860000610352
2016-08-19,218.539993286133
2016-08-22,218.529998779297
2016-08-23,218.970001220703
2016-08-24,217.850006103516
2016-08-25,217.699996948242
2016-08-26,217.289993286133
2016-08-29,218.360000610352
2016-08-30,218
2016-08-31,217.380004882813
2016-09-01,217.389999389648
2016-09-02,218.369995117188
2016-09-06,219.029998779297
2016-09-07,219.009994506836
2016-09-08,218.509994506836
2016-09-09,213.279998779297
2016-09-12,216.339996337891
2016-09-13,213.229995727539
